input_row_key,input_company_name,input_main_country_code,input_main_country,input_main_region,input_main_city,input_main_postcode,input_main_street,input_main_street_number
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Pakistan,Sindh,Karachi,,,
1,2OPERATE A/S,DK,Denmark,North Denmark Region,Aalborg,9220,Niels Jernes Vej,10
10,ACCENTURE SERVICES AS,NO,Norway,Viken,Bærum,1364,Rolfsbuktveien,2
100,COMBA TELECOM LIMITED,HK,Hong Kong,Hong Kong,Hong Kong Island,,,
101,Comengineering Sdn. Bhd.,MY,Malaysia,Selangor,Subang Jaya,47650,Jalan Putra Mahkota 7/7B,2026-05-02 00:00:00
102,COMMSCOPE SOLUTIONS SINGAPORE PTE. LTD.,SG,Singapore,Central,Singapore,68804,Shenton Way,2
103,CommScope Technologies AG,CH,Switzerland,Zurich,Zurich,8001,Talstrasse,80
104,COMMSCOPE TECHNOLOGIES LLC,US,United States,West Virginia,,,,
105,COMVIVA TECHNOLOGIES LIMITED,IN,India,Haryana,Gurugram,122102,Golf Course Extension Road,
106,CONSCIA DANMARK A/S,DK,Denmark,Capital Region Of Denmark,Glostrup,2605,Kirkebjerg Parkvej,9
107,CONTROL RISKS GROUP LIMITED,GB,United Kingdom,England,London,SE1 2QG,Cottons Lane,
108,CORPORATE COMMUNICATIONS AS,NO,Norway,Oslo,Oslo,252,Fru Kroghs Brygge,2
109,"COUPA SOFTWARE, INC.",US,United States,California,San Mateo,94402,South Grant Street,1855
11,Accutics ApS,DK,Denmark,Region Of Southern Denmark,Odense,5250,Dalumvej,16
110,"COURSERA, INC.",US,United States,California,Mountain View,94041,East Evelyn Avenue,381
111,CRAYON A/S,DK,Denmark,Capital Region Of Denmark,Gladsaxe Municipality,2860,Tobaksvejen,2a 3
112,CRAYON AS,NO,Norway,Oslo,Oslo,484,Gullhaug Torg,5
113,CRAYON PTE. LTD.,SG,Singapore,,,,,
114,"CROWDSTRIKE SERVICES, INC.",US,United States,California,Sunnyvale,94086,Mathilda Place,150
115,Searcher ApS,DK,Denmark,Central Denmark Region,Aarhus Municipality,8000,20,7
116,"CUSHMAN & WAKEFIELD SERVICES (THAILAND) CO., LTD.",TH,Thailand,,,,,
117,DADES Center Ost ApS,DK,Denmark,Capital Region Of Denmark,Kongens Lyngby,2800,Lyngby Hovedgade,4
118,BONNIER BUSINESS PRESS A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,1116,Møntergade,19
119,DAILY JURRAT,PK,Pakistan,Punjab,Civil Lines,54010,Abbott Road,14
12,ACOME,FR,France,Ile-de-France,Paris,75014,Rue Du Montparnasse,52
120,Dansk Kredit Rad,DK,Denmark,Region Zealand,Greve Strand,2670,Greve Strandvej,9
121,DANSK SUNDHEDSSIKRING KOMPLEMENTARSELSKAB ApS,DK,Denmark,Capital Region Of Denmark,Herlev,2730,Marielundvej,43B
122,DANSKE BANK A/S,DK,Denmark,,,,,
123,Dantec Nordics ApS,DK,Denmark,Region Of Southern Denmark,Aabenraa Municipality,6330,Thorsvej,6
124,DEAS A/S,DK,Denmark,Capital Region Of Denmark,Frederiksberg Municipality,2000,Dirch Passers Allé,76
125,DEKO-STYLE V/ANJA GRONNE,DK,Denmark,Central Denmark Region,Aarhus Municipality,8250,Havlitvej,7
126,DELFI TECHNOLOGIES A/S,DK,Denmark,Region Zealand,Køge,4600,Galoche Alle,1
127,DELL AS,NO,Norway,Oslo,Oslo,283,Lilleakerveien,2B
128,Dell Corporation (Thailand) Co Ltd,TH,Thailand,Bangkok,Yan Nawa District,10120,,
129,DELL PRODUCTS,IE,Ireland,,,,,
13,"ACOME XINTAI CABLES CO., LTD.",CN,China,Shandong,Xintai,271200,,
130,DELOITTE ADVOKATFIRMA AS,NO,Norway,Oslo,Oslo,191,Dronning Eufemias Gate,14
131,DELOITTE AS,NO,Norway,Oslo,Oslo,191,Dronning Eufemias Gate,14
132,Deloitte Consulting (Sea) Sdn. Bhd.,MY,Malaysia,Kuala Lumpur,Kuala Lumpur,60000,Jalan Wan Kadir,2026-10-12 00:00:00
133,DELOITTE STATSAUTORISERET REVISIONSPARTNERSELSKAB,DK,Denmark,,,,,
134,"DELTA EJENDOM, AALBORG A/S",DK,Denmark,North Denmark Region,Aalborg Municipality,9000,Skibbrogade,2026-03-03 00:00:00
135,ELTEK AS,NO,Norway,Viken,Drammen,3036,,
136,DELTA ELECTRONICS INT'L (SINGAPORE) PTE. LTD.,SG,Singapore,Central,Singapore,339213,Kallang Junction,17
137,DHL EXPRESS (SINGAPORE) PTE. LTD.,SG,Singapore,Central,Singapore,18989,Marina Boulevard,1
138,DIAL ZERO (PRIVATE) LIMITED,PK,Pakistan,Sindh,Orangi,,,
139,Nets Denmark A/S,DK,Denmark,Capital Region Of Denmark,Ballerup,2750,Klausdalsbrovej,601
14,ADAPT A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,1411,Langebrogade,6A
140,DIGI TELECOMMUNICATIONS SDN BHD,MY,Malaysia,,,,,
